second,Volt,Volt.1
-0.00176865,4.8241207,-2.351758841
-0.00176365,4.8241207,-2.41206035
-0.00175865,4.8241207,-2.41206035
-0.00175365,4.8241207,-2.41206035
-0.00174865,4.876884521,-2.532663368
-0.00174365,4.8241207,-2.532663368
-0.00173865,4.876884521,-2.532663368
-0.00173365,4.8241207,-2.645728697
-0.00172865,4.944723718,-2.585427188
-0.00172365,4.8241207,-2.653266385
-0.00171865,4.8241207,-2.653266385
-0.00171365,4.8241207,-2.653266385
-0.00170865,4.876884521,-2.713567894
-0.00170365,4.8241207,-2.653266385
-0.00169865,4.884422209,-2.94723624
-0.00169365,4.937186029,-2.886934732
-0.00168865,4.876884521,-2.89447242
-0.00168365,4.8241207,-2.886934732
-0.00167865,4.8241207,-2.773869403
-0.00167365,4.944723718,-2.89447242
-0.00166865,4.884422209,-3.000000061
-0.00166365,4.8241207,-3.015075438
-0.00165865,4.8241207,-2.94723624
-0.00165365,4.937186029,-3.015075438
-0.00164865,4.8241207,-2.94723624
-0.00164365,4.937186029,-3.015075438
-0.00163865,4.884422209,-3.120603078
-0.00163365,4.8241207,-3.135678455
-0.00162865,4.756281503,-3.188442275
-0.00162365,4.816583012,-3.256281473
-0.00161865,4.8241207,-3.180904587
-0.00161365,4.8241207,-3.256281473
-0.00160865,4.8241207,-3.241206096
-0.00160365,4.8241207,-3.256281473
-0.00159865,4.756281503,-3.301507604
-0.00159365,4.816583012,-3.489949819
-0.00158865,4.876884521,-3.309045293
-0.00158365,4.8241207,-3.369346802
-0.00157865,4.756281503,-3.37688449
-0.00157365,4.8241207,-3.497487508
-0.00156865,4.8241207,-3.497487508
-0.00156365,4.944723718,-3.497487508
-0.00155865,4.8241207,-3.618090525
-0.00155365,4.8241207,-3.37688449
-0.00154865,4.831658389,-3.550251328
-0.00154365,4.8241207,-3.610552837
-0.00153865,4.8241207,-3.618090525
-0.00153365,4.8241207,-3.618090525
-0.00152865,4.884422209,-3.678392034
-0.00152365,4.816583012,-3.738693543
-0.00151865,4.944723718,-3.791457363
-0.00151365,5.050251358,-3.738693543
-0.00150865,4.8241207,-3.791457363
-0.00150365,4.8241207,-3.738693543
-0.00149865,4.8241207,-3.791457363
-0.00149365,4.937186029,-3.85929656
-0.00148865,4.8241207,-3.919598069
-0.00148365,4.8241207,-3.85929656
-0.00147865,4.8241207,-3.979899578
-0.00147365,4.703517683,-3.85929656
-0.00146865,4.809045323,-3.919598069
-0.00146365,4.816583012,-3.979899578
-0.00145865,4.884422209,-3.91206038
-0.00145365,4.703517683,-4.092964907
-0.00144865,4.876884521,-4.100502595
-0.00144365,4.703517683,-3.979899578
-0.00143865,4.8241207,-3.979899578
-0.00143365,4.703517683,-4.100502595
-0.00142865,4.756281503,-4.025125709
-0.00142365,4.816583012,-3.987437266
-0.00141865,4.809045323,-4.032663398
-0.00141365,4.8241207,-4.213567924
-0.00140865,4.8241207,-4.108040284
-0.00140365,4.8241207,-4.100502595
-0.00139865,4.8241207,-4.221105613
-0.00139365,4.8241207,-4.213567924
-0.00138865,4.884422209,-4.221105613
-0.00138365,4.8241207,-4.100502595
-0.00137865,4.884422209,-4.040201087
-0.00137365,4.944723718,-4.221105613
-0.00136865,4.809045323,-4.221105613
-0.00136365,4.8241207,-4.221105613
-0.00135865,4.929648341,-4.273869433
-0.00135365,4.937186029,-4.221105613
-0.00134865,4.8241207,-4.266331744
-0.00134365,4.816583012,-4.213567924
-0.00133865,4.8241207,-4.153266415
-0.00133365,4.8241207,-4.34170863
-0.00132865,4.884422209,-4.402010139
-0.00132365,4.944723718,-4.34170863
-0.00131865,4.711055371,-4.34170863
-0.00131365,4.8241207,-4.108040284
-0.00130865,4.944723718,-4.221105613
-0.00130365,4.937186029,-4.334170942
-0.00129865,4.8241207,-4.34170863
-0.00129365,4.8241207,-4.447236271
-0.00128865,4.876884521,-4.281407122
-0.00128365,4.8241207,-4.221105613
-0.00127865,4.944723718,-4.34170863
-0.00127365,4.944723718,-4.34170863
-0.00126865,4.884422209,-4.39447245
-0.00126365,4.8241207,-4.228643301
-0.00125865,4.876884521,-4.39447245
-0.00125365,4.944723718,-4.228643301
-0.00124865,4.8241207,-4.462311648
-0.00124365,4.8241207,-4.454773959
-0.00123865,4.8241207,-4.34170863
-0.00123365,4.8241207,-4.462311648
-0.00122865,4.944723718,-4.582914665
-0.00122365,4.8241207,-4.454773959
-0.00121865,4.876884521,-4.469849336
-0.00121365,4.937186029,-4.34170863
-0.00120865,4.876884521,-4.39447245
-0.00120365,4.8241207,-4.688442306
-0.00119865,4.944723718,-4.402010139
-0.00119365,4.944723718,-4.454773959
-0.00118865,4.8241207,-4.522613157
-0.00118365,4.8241207,-4.575376977
-0.00117865,4.884422209,-4.34170863
-0.00117365,4.816583012,-4.567839288
-0.00116865,4.8241207,-4.515075468
-0.00116365,4.469849336,-4.703517683
-0.00115865,-5.238693573,-5.359296591
-0.00115365,-5.185929753,-5.298995082
-0.00114865,-5.246231262,-5.359296591
-0.00114365,-5.185929753,-5.193467441
-0.00113865,-5.185929753,-5.246231262
-0.00113365,-5.185929753,-5.185929753
-0.00112865,-5.185929753,-5.238693573
-0.00112365,-5.185929753,-5.065326735
-0.00111865,-5.246231262,-5.065326735
-0.00111365,-5.298995082,-5.065326735
-0.00110865,-5.246231262,-5.185929753
-0.00110365,-5.065326735,-5.057789047
-0.00109865,-5.238693573,-5.065326735
-0.00109365,-5.185929753,-4.944723718
-0.00108865,-5.185929753,-4.997487538
-0.00108365,-5.178392064,-4.831658389
-0.00107865,-5.193467441,-4.952261406
-0.00107365,-5.185929753,-4.8241207
-0.00106865,-5.118090556,-4.884422209
-0.00106365,-5.185929753,-4.937186029
-0.00105865,-5.185929753,-4.756281503
-0.00105365,-5.185929753,-4.711055371
-0.00104865,-5.246231262,-4.703517683
-0.00104365,-5.185929753,-4.695979994
-0.00103865,-5.125628244,-4.582914665
-0.00103365,-5.185929753,-4.590452354
-0.00102865,-5.065326735,-4.635678486
-0.00102365,-5.185929753,-4.582914665
-0.00101865,-5.185929753,-4.515075468
-0.00101365,-5.178392064,-4.462311648
-0.00100865,-5.065326735,-4.643216174
